visitor_id,first_seen_at,last_seen_at,page_visits,upload_success,compress_success,compress_failure,download_success,quota_used,paid_credits
001897c5-8aed-4938-aeb8-a6b82e0a397e,"2026-04-16 15:33:09","2026-04-23 09:31:26",47,37,18,0,9,0,0
450c7e2c-dfe9-444b-9fc3-f5c616ced9c0,"2026-04-22 21:29:08","2026-04-22 21:29:08",1,0,0,0,0,0,0
52cf769e-b01b-430a-8df2-8dd35df767f6,"2026-04-22 21:28:55","2026-04-22 21:28:55",0,0,0,0,0,0,0
e065a5e6-f39f-4c4f-b01c-3a4bc062fe12,"2026-04-21 19:48:04","2026-04-21 19:48:04",0,0,1,0,0,1,0
080f414f-5da7-4d59-a21c-11b1513c7d4a,"2026-04-21 19:48:04","2026-04-21 19:48:04",0,0,0,0,0,0,0
69f0a49b-3f30-4b9f-8a0e-8beb73a8af94,"2026-04-21 19:48:04","2026-04-21 19:48:04",0,1,0,0,0,0,0
96f55673-88cf-4990-a9cf-c09440cc0dd2,"2026-04-21 19:48:04","2026-04-21 19:48:04",0,0,0,0,0,0,0
ec2073d8-cfa5-410f-a3a7-1db11bc085e1,"2026-04-21 19:46:26","2026-04-21 19:46:26",0,0,0,0,0,0,0
14c0b3d8-f910-4512-9991-c67543c8f436,"2026-04-18 20:59:29","2026-04-18 20:59:29",0,1,1,0,0,1,0
6144937f-739e-4e11-85de-68e559d25232,"2026-04-17 13:44:57","2026-04-17 13:44:57",0,0,0,0,0,0,0
178caeb5-4ab9-4d65-a4b9-6d15c367dad3,"2026-04-17 13:44:54","2026-04-17 13:44:54",0,0,0,0,0,0,0
e96e4c8b-e151-40d3-aecc-c9d20a4e2687,"2026-04-17 13:44:54","2026-04-17 13:44:54",0,0,0,0,0,0,0
2957aa62-a286-4317-addb-8dd71a83af9a,"2026-04-16 15:18:45","2026-04-16 15:19:46",0,0,0,0,1,0,0
233421d0-7c4d-4f53-8a87-07cdd580ba58,"2026-04-16 15:17:15","2026-04-16 15:17:15",0,0,0,0,0,0,0
